timestamp_utc,city,date,entry_mode,bucket,adjacent_bucket,model_probability,market_price,edge_pct,confidence,size_pct,size_usd,bankroll,sigma,metar_rising,max_so_far,deb_prediction,mu,top1_prob,top2_prob,hours_to_peak,market_slug,market_question,liquidity,volume,reasoning,risk_factors,actual_high,settlement_bucket,trade_won,pnl_usd
2026-04-15T21:03:32.366121+00:00,Dallas,2026-04-15,golden_hour,81,,0.766,0.95,-18.4,high,2.0,20.0,1000.0,0.42,True,,,,0.766,0.883,1.9499999999999993,highest-temperature-in-dallas-on-april-15-2026-82forhigher,Will the highest temperature in Dallas be 82°F or higher on April 15?,360.81033,15992.807530000033,"METAR shows steady warming from 75.9°F at noon to 79.0°F now, with hourly forecast predicting peak at 80.1°F this hour. Model has 76.6% confidence on 81°F bucket with tight sigma of 0.42. Current temp is only 2°F from target.","[""Market appears to have inverted pricing showing 82\u00b0F+ at higher price than 81\u00b0F"", ""Peak window timing suggests we may be at or very near daily maximum""]",,,,
2026-04-15T21:03:32.366556+00:00,Atlanta,2026-04-15,post_peak,84,,0.778,0.3,47.8,high,4.0,40.0,1000.0,0.5550000000000004,True,,,,0.778,1.0,-0.05000000000000071,highest-temperature-in-atlanta-on-april-15-2026-82-83f,Will the highest temperature in Atlanta be between 82-83°F on April 15?,46545.76805,22286.97014000001,"Max so far is 84.0°F from 16:00 METAR, which puts us in the 84° bucket. Model has 77.8% on this bucket with tight sigma (0.55). Current temp at 82.9° confirms cooling phase has begun, making 84.0° likely the daily peak.","[""Market scan shows different focus bucket (86\u00b0)"", ""No direct bucket pricing available""]",,,,
2026-04-17T09:57:51.981082+00:00,Istanbul,2026-04-17,golden_hour,12,11,0.762,0.54,22.2,high,2.5,25.0,1000.0,1.0,True,11.0,11.7,11.7,0.416,0.762,1.083333333333334,highest-temperature-in-istanbul-on-april-17-2026-11c,Will the highest temperature in Istanbul be 11°C on April 17?,987.54896,5685.8939770000015,Model predicts 11.7°C peak with combined 76.2% probability on adjacent 11-12° buckets. METAR shows steady warming from 10° to 11° with hourly forecast indicating peak at 11.7° around 14:00-17:00. Market pricing 12° bucket at 54% when model gives 76% combined probability on 11-12° range.,"[""High humidity 82% could suppress temperatures"", ""North wind dominance may limit heating""]",,,,
2026-04-17T09:57:51.982991+00:00,Chongqing,2026-04-17,post_peak,27,,0.747,0.01,73.7,high,4.0,40.0,1000.0,0.3,True,27.0,25.1,27.3,0.747,1.0,-0.9333333333333336,highest-temperature-in-chongqing-on-april-17-2026-28c,Will the highest temperature in Chongqing be 28°C on April 17?,1031.1945,9694.216973999997,Clear post-peak scenario with max_so_far = 27.0°C and temps flat for 3 hours (15:00-17:00). Model shows 74.7% for 27° bucket while market prices it at only 1%. Hourly forecast shows cooling trend beginning.,"[""Market liquidity at $1031 is marginal"", ""Observation age of 56 minutes creates slight settlement uncertainty""]",,,,
2026-04-17T09:57:51.983846+00:00,Chengdu,2026-04-17,post_peak,29,,0.675,0.0005,67.45,high,4.0,40.0,1000.0,0.41999999999999954,True,29.0,26.1,29.3,0.675,1.0,-0.9333333333333336,highest-temperature-in-chengdu-on-april-17-2026-27c,Will the highest temperature in Chengdu be 27°C on April 17?,56042.5535,26837.433759000032,"Post-peak capture scenario: max_so_far is 29.0°C at 16:00, settling in the 29° bucket. METAR sequence shows clear peak at 16:00 (29°) with current temp dropping to 28° and hourly forecast confirming cooling trend. Market is severely mispricing at 0.05% when settlement is nearly certain.","[""Market liquidity appears inconsistent"", ""Small possibility of late-day temperature spike""]",,,,
2026-04-17T11:25:40.216215+00:00,Munich,2026-04-17,golden_hour,19,20,0.737,0.25,48.7,high,2.5,25.0,1000.0,1.475,True,19.0,19.2,19.2,0.393,0.737,2.616666666666667,highest-temperature-in-munich-on-april-17-2026-18c,Will the highest temperature in Munich be 18°C on April 17?,1537.26943,8217.892149999994,"Perfect golden hour setup: METAR rising monotonically from 18°C to 19°C in last hour, sigma at 1.475, and model forecasts peak at 19.2°C at 17:00. Combined top-2 buckets (19° + 20°) have 73.7% probability but market pricing them at ~91% total (66% + 25%), creating massive edge on individual buckets.","[""Airport station 28.5km away with cooling risk"", ""Sigma slightly above ideal 1.5 threshold""]",,,,
2026-04-17T11:25:40.217877+00:00,London,2026-04-17,golden_hour,18,17,0.694,0.64,5.4,medium,2.0,20.0,1000.0,1.0,True,16.0,17.6,17.6,0.363,0.694,2.616666666666667,highest-temperature-in-london-on-april-17-2026-16c,Will the highest temperature in London be 16°C on April 17?,2686.51998,16783.20201799999,"METAR shows steady warming from 15°C at 11:00 to 16°C at 12:00, with hourly forecast predicting continued rise to 17.6°C peak at 15:00. Combined top-2 adjacent buckets (17° and 18°) have 69.4% model probability vs ~87% market pricing, offering modest edge.","[""sigma=1.0 at threshold"", ""market already pricing high probability"", ""Thames microclimate risk noted""]",,,,
2026-04-17T11:25:40.218552+00:00,Paris,2026-04-17,golden_hour,20,19,0.585,0.13,45.5,high,2.5,25.0,1000.0,1.4000000000000004,True,19.0,20.0,20.0,0.328,0.585,2.616666666666667,highest-temperature-in-paris-on-april-17-2026-22c,Will the highest temperature in Paris be 22°C on April 17?,675.5728,17689.444573,"METAR shows steady warming from 9°C at 07:00 to 19°C at 13:00, gaining 10°C in 6 hours with clear acceleration. Hourly forecast predicts peak at 20°C around 15:00, matching model's top bucket. Combined top-2 buckets (19°+20°) at 58.5% vs market pricing 20° at only 13% creates massive 45% edge.","[""Urban heat island effect could push temps higher than airport reading"", ""Peak window is 2-3 hours away with potential for overshooting""]",,,,
2026-04-17T11:25:40.218942+00:00,Jeddah,2026-04-17,post_peak,42,,0.399,0.01,38.9,high,4.0,40.0,1000.0,0.8850000000000003,True,41,39.7,41.3,0.501,0.9,-1.4000000000000004,highest-temperature-in-jeddah-on-april-17-2026-41c,Will the highest temperature in Jeddah be 41°C on April 17?,3949.41862,10494.233634,"Max so far is 41°C from 12:00, and temperatures have declined since then (40°C at 14:00, 39°C at 13:00-13:10). The hourly forecast shows continued cooling through evening. However, the settlement source is Wunderground which shows anchor settlement at 42°C bucket, and market is severely mispricing 42°C bucket at only 1% when model gives it 39.9%.","[""Settlement discrepancy between METAR max (41\u00b0C) and Wunderground anchor (42\u00b0C)"", ""BLDU weather phenomenon may affect temperature readings""]",,,,
2026-04-17T11:25:40.219341+00:00,Istanbul,2026-04-17,post_peak,11,,0.362,0.24,12.2,medium,2.5,25.0,1000.0,0.7,True,11.0,11.7,11.7,0.511,0.873,-0.38333333333333286,highest-temperature-in-istanbul-on-april-17-2026-11c,Will the highest temperature in Istanbul be 11°C on April 17?,236.49462,7817.9541970000055,"Max so far is 11°C and METAR has been flat at 11°C for 4+ hours with no sign of further warming. Model predicts only 0.7°C potential rise to 11.7°C peak, making 11°C bucket settlement very likely. Market pricing 11°C at 24% vs model 36.2% creates solid edge.","[""High humidity at 82% could suppress further warming"", ""Network leader at 17.1\u00b0C creates uncertainty about local measurement""]",,,,
2026-04-17T11:25:40.219627+00:00,Tel Aviv,2026-04-17,post_peak,33,,1.0,0.997,0.3,high,4.0,40.0,1000.0,0.3,False,33.0,34.1,33.0,1.0,1.0,-0.38333333333333286,highest-temperature-in-tel-aviv-on-april-17-2026-33c,Will the highest temperature in Tel Aviv be 33°C on April 17?,5731.43287,17893.974803000005,Clear post-peak scenario with max_so_far of 33.0°C matching the 33° bucket exactly. Temperature has fallen 7°C from peak and hourly forecast shows continued cooling. Market is still pricing 0.3% uncertainty despite outcome being locked in.,"[""Very small edge"", ""High market price already""]",,,,
2026-04-17T11:30:01.258333+00:00,Munich,2026-04-17,golden_hour,19,20,0.737,0.25,48.7,high,2.5,25.0,1000.0,1.475,True,19.0,19.2,19.2,0.393,0.737,2.533333333333333,highest-temperature-in-munich-on-april-17-2026-18c,Will the highest temperature in Munich be 18°C on April 17?,1537.26943,8217.892149999994,"Perfect golden hour setup: METAR shows steady warming from 18°C to 19°C in last hour, sigma is 1.475, and model forecasts peak at 17:00 with 19.2°C. Combined top-2 adjacent buckets (19° + 20°) have 73.7% probability but market pricing them at only ~25%. Current temp at 19°C already matches the primary bucket.","[""Airport distance risk (28.5km)"", ""Sigma slightly above 1.5 threshold""]",,,,
2026-04-17T11:30:01.259731+00:00,London,2026-04-17,golden_hour,18,17,0.694,0.83,-13.6,low,0,0.0,1000.0,1.0,True,16.0,17.6,17.6,0.363,0.694,2.533333333333333,highest-temperature-in-london-on-april-17-2026-16c,Will the highest temperature in London be 16°C on April 17?,2667.646,16800.662017999988,"METAR shows steady warming from 11°C to 16°C with peak forecast at 17.6°C in 3 hours, but market is already pricing top-2 buckets at 83% combined vs model's 69.4%. Negative edge despite good warming trend.","[""negative_edge"", ""market_already_efficient"", ""sigma_acceptable_but_no_value""]",,,,
2026-04-17T11:30:01.260014+00:00,Paris,2026-04-17,golden_hour,20,19,0.585,0.1,48.5,high,2.5,25.0,1000.0,1.4000000000000004,True,19.0,20.0,20.0,0.328,0.585,2.533333333333333,highest-temperature-in-paris-on-april-17-2026-22c,Will the highest temperature in Paris be 22°C on April 17?,498.2682,17920.684573,"METAR shows steady warming from 11°C at 7:30 to 19°C now (+1.1°C/hour rate), with forecast peak at 20°C in 2 hours. Combined 19-20° buckets at 58.5% vs market pricing 20° at only 10% creates massive 48.5% edge.","[""Urban heat island could push settlement to 21\u00b0C bucket"", ""Model sigma at 1.4 shows some uncertainty""]",,,,
2026-04-17T11:30:01.260214+00:00,Jeddah,2026-04-17,post_peak,41,,0.501,0.9945,-49.4,high,4.0,40.0,1000.0,0.8850000000000003,True,41,39.7,41.3,0.501,0.9,-1.4833333333333325,highest-temperature-in-jeddah-on-april-17-2026-41c,Will the highest temperature in Jeddah be 41°C on April 17?,3949.41862,10494.233634,"Max so far is 41°C reached at 12:00, and hourly forecast shows cooling trend ahead with temps dropping to 36.4°C by 14:00-15:00. The 41°C bucket should settle as the winner, but market is massively overpriced at 99.45%.","[""Market liquidity concentrated in wrong direction"", ""BLDU weather phenomena could affect final settlement reading""]",,,,
2026-04-17T11:30:01.260403+00:00,Istanbul,2026-04-17,post_peak,12,,0.557,0.84,-28.3,low,0,0.0,1000.0,0.7,True,12.0,11.7,12.3,0.557,0.9520000000000001,-0.4666666666666668,highest-temperature-in-istanbul-on-april-17-2026-11c,Will the highest temperature in Istanbul be 11°C on April 17?,236.49462,7817.9541970000055,"Max so far is 12.0°C and temperature has been flat at 11°C for hours with forecast showing only minor warming to 11.7°C peak. However, market is pricing 12°C bucket at 84% which is severely overpriced versus model's 55.7%.","[""Negative edge of 28%"", ""Market severely overpricing outcome"", ""NOAA settlement uncertainty""]",,,,
2026-04-17T11:30:01.260576+00:00,Tel Aviv,2026-04-17,post_peak,33,,1.0,0.9975,0.25,high,4.0,40.0,1000.0,0.3,False,33.0,34.1,33.0,1.0,1.0,-0.4666666666666668,highest-temperature-in-tel-aviv-on-april-17-2026-33c,Will the highest temperature in Tel Aviv be 33°C on April 17?,5715.80784,17893.974803000005,Peak was clearly reached at 33°C at 10:00-10:20. Temperature has fallen 7°C since then to 26°C with DU (dust) suppressing further warming. Hourly forecast shows continued cooling. Max_so_far of 33°C is the settlement value.,"[""Very small edge at 0.25%"", ""Market already highly certain""]",,,,
2026-04-17T11:32:27.396375+00:00,Munich,2026-04-17,golden_hour,19,20,0.737,0.89,-15.3,medium,0,0.0,1000.0,1.475,True,19.0,19.2,19.2,0.393,0.737,2.4833333333333325,highest-temperature-in-munich-on-april-17-2026-18c,Will the highest temperature in Munich be 18°C on April 17?,11916.95065,9256.170149999994,"METAR shows strong monotonic warming (+8°C in 6 hours) and current 19°C exactly matches model's top bucket center. Peak forecast at 17:00 suggests 3-4 hours remaining. However, market is pricing the combined 19°+20° buckets at ~89% which exceeds model probability of 73.7%.","[""negative edge"", ""airport location risk"", ""market already pricing warming trajectory""]",,,,
2026-04-17T11:32:27.397788+00:00,London,2026-04-17,golden_hour,18,17,0.694,0.83,13.6,high,2.5,25.0,1000.0,1.0,True,16.0,17.6,17.6,0.363,0.694,2.5,highest-temperature-in-london-on-april-17-2026-16c,Will the highest temperature in London be 16°C on April 17?,2667.646,16800.662017999988,Strong golden hour setup with METAR rising monotonically (12→16°C over 12h) and model predicting 17.6°C peak at 15:00. Combined 18+17 bucket probability of 69.4% vs market pricing of ~83% offers solid edge. Sigma=1.0 is tight and warming rate supports continued rise.,"[""Thames microclimate effects"", ""Peak timing uncertainty""]",,,,
2026-04-17T11:32:27.398552+00:00,Paris,2026-04-17,golden_hour,20,19,0.585,0.41,17.5,medium,2.0,20.0,1000.0,1.4000000000000004,True,19.0,20.0,20.0,0.328,0.585,2.5,highest-temperature-in-paris-on-april-17-2026-22c,Will the highest temperature in Paris be 22°C on April 17?,498.2682,17920.684573,"METAR shows steady warming from 17°C at 11:00 to 19°C at 13:00, with hourly forecast predicting peak at 20°C around 15:00. Combined top-2 adjacent buckets (19° + 20°) give 58.5% model probability vs estimated market price of ~41%, creating +17.5% edge.","[""sigma at 1.4 is close to threshold"", ""urban heat island could push slightly higher than airport readings""]",,,,
2026-04-17T11:32:27.399216+00:00,Jeddah,2026-04-17,post_peak,41,,0.501,0.9935,-49.3,high,4.0,40.0,1000.0,0.8850000000000003,True,41,39.7,41.3,0.501,0.9,-1.5166666666666675,highest-temperature-in-jeddah-on-april-17-2026-41c,Will the highest temperature in Jeddah be 41°C on April 17?,3949.41862,10494.233634,"Max so far is 41°C reached at 12:00, and current temps are falling (40°C at 14:00 vs 41°C peak). Hourly forecast shows continued cooling through evening. This is classic post-peak capture where settlement is nearly certain.","[""Market already pricing 41\u00b0C at 99.35%, very little edge remaining"", ""BLDU weather phenomena may affect measurement accuracy""]",,,,
2026-04-17T11:32:27.400144+00:00,Istanbul,2026-04-17,post_peak,12,,0.557,0.81,-25.3,low,0,0.0,1000.0,0.7,True,12.0,11.7,12.3,0.557,0.9520000000000001,-0.5,highest-temperature-in-istanbul-on-april-17-2026-11c,Will the highest temperature in Istanbul be 11°C on April 17?,2330.74699,10470.885623000007,"Current max_so_far is 12.0°C with METAR stagnant at 11°C for hours, suggesting peak reached. However, market is pricing 12° bucket at 81%, creating negative edge despite post-peak timing.","[""Negative edge of -25.3%"", ""Market already pricing outcome efficiently"", ""Hourly forecast shows potential slight warming to 11.7\u00b0C""]",,,,
2026-04-17T11:32:27.400886+00:00,Tel Aviv,2026-04-17,post_peak,33,,1.0,0.998,0.2,high,4.0,40.0,1000.0,0.3,False,33.0,34.1,33.0,1.0,1.0,-0.5,highest-temperature-in-tel-aviv-on-april-17-2026-33c,Will the highest temperature in Tel Aviv be 33°C on April 17?,5715.80784,17893.974803000005,"Clear post-peak scenario with max_so_far at 33.0°C matching the 33° bucket. METAR shows steady cooling from 33° peak at 10:00-10:20, now down to 26°. Forecast confirms continued cooling with no rebound potential.","[""very small edge at 0.2%"", ""market already highly efficient at 99.8%""]",,,,
2026-04-17T11:34:48.850432+00:00,Munich,2026-04-17,golden_hour,19,20,0.737,0.24,49.7,high,2.5,25.0,1000.0,1.475,True,19.0,19.2,19.2,0.393,0.737,2.4499999999999993,highest-temperature-in-munich-on-april-17-2026-18c,Will the highest temperature in Munich be 18°C on April 17?,11916.95065,9256.170149999994,"METAR shows strong monotonic warming from 18°C to 19°C in last hour, model predicts peak at 17:00 with 19.2°C target. Combined 19°+20° buckets at 73.7% vs market pricing ~24% creates massive 49.7% edge.","[""airport_distance_28km"", ""sigma_1.475_slightly_elevated""]",,,,
2026-04-17T11:34:48.851319+00:00,London,2026-04-17,golden_hour,18,17,0.363,0.59,-22.7,low,0,0.0,1000.0,1.0,True,16.0,17.6,17.6,0.363,0.694,2.4499999999999993,highest-temperature-in-london-on-april-17-2026-16c,Will the highest temperature in London be 16°C on April 17?,2667.646,16800.662017999988,"METAR shows steady warming from 11°C to 16°C over 12 hours with hourly forecast predicting peak at 17.6°C around 15:00. However, market is pricing 18° bucket at 59% while model only gives 36.3%, creating negative edge.","[""negative_edge"", ""market_overpricing_top_bucket"", ""sigma_at_1.0_borderline""]",,,,
2026-04-17T11:34:48.851707+00:00,Paris,2026-04-17,golden_hour,20,19,0.585,0.43,15.5,medium,2.0,20.0,1000.0,1.4000000000000004,True,19.0,20.0,20.0,0.328,0.585,2.4499999999999993,highest-temperature-in-paris-on-april-17-2026-22c,Will the highest temperature in Paris be 22°C on April 17?,498.2682,17920.684573,"METAR shows steady warming from 17°C at 11:00 to 19°C at 13:00, on track toward model's 20°C peak at 15:00. Combined top-2 adjacent buckets (19°C + 20°C) give 58.5% coverage with sigma at 1.4. Current temp 19°C already in second bucket with peak 2 hours away.","[""Urban heat island effect could push settlement higher"", ""Market pricing appears confused with 22\u00b0C bucket at 52% despite model showing 12% probability""]",,,,
2026-04-17T11:34:48.852030+00:00,Jeddah,2026-04-17,post_peak,41,,0.501,0.9935,-49.34,high,4.0,40.0,1000.0,0.8850000000000003,True,41,39.7,41.3,0.501,0.9,-1.5500000000000007,highest-temperature-in-jeddah-on-april-17-2026-41c,Will the highest temperature in Jeddah be 41°C on April 17?,3893.40405,10511.233634,"Max so far is 41°C reached at 12:00, and current temp has cooled to 40°C with hourly forecast showing further cooling. This is classic post-peak capture scenario with 66% historical accuracy.","[""Market already pricing 41\u00b0 at 99.35%, indicating other traders may have same information"", ""BLDU weather phenomena could affect measurement accuracy""]",,,,
2026-04-17T11:34:48.852338+00:00,Istanbul,2026-04-17,post_peak,12,,0.557,0.82,-26.3,low,0,0.0,1000.0,0.7,True,12.0,11.7,12.3,0.557,0.9520000000000001,-0.5333333333333332,highest-temperature-in-istanbul-on-april-17-2026-11c,Will the highest temperature in Istanbul be 11°C on April 17?,2330.74699,10470.885623000007,"Current max_so_far is 12°C which should be the settlement value. However, market is already pricing 12° bucket at 82% which is significantly higher than model probability of 55.7%, creating negative edge.","[""negative_edge"", ""market_already_efficient"", ""hourly_forecast_shows_potential_for_higher""]",,,,
2026-04-17T11:34:48.852630+00:00,Tel Aviv,2026-04-17,post_peak,33,,1.0,0.998,0.2,high,4.0,40.0,1000.0,0.3,False,33.0,34.1,33.0,1.0,1.0,-0.5500000000000007,highest-temperature-in-tel-aviv-on-april-17-2026-33c,Will the highest temperature in Tel Aviv be 33°C on April 17?,5715.80784,17893.974803000005,"Max temp of 33.0°C was recorded at 10:00-10:20 and temperatures have been falling consistently since then. Current temp is 26°C, down 7°C from peak, with forecast showing continued cooling. The settlement value is locked at 33°C.","[""Very small edge of only 0.2%"", ""Market already highly confident at 99.8%""]",,,,
2026-04-17T11:37:10.296819+00:00,Munich,2026-04-17,golden_hour,19,20,0.737,0.24,49.7,high,2.5,25.0,1000.0,1.475,True,19.0,19.2,19.2,0.393,0.737,2.416666666666666,highest-temperature-in-munich-on-april-17-2026-18c,Will the highest temperature in Munich be 18°C on April 17?,65603.31043,9387.990149999996,"Perfect golden hour setup: METAR rising monotonically from 18°C at 13:00 to 19°C at 13:20, model predicts peak at 17:00 with 19.2°C, sigma tight at 1.475. Combined top-2 adjacent buckets (19° + 20°) have 73.7% probability vs market pricing only 24% on 19° bucket.","[""Airport distance 28.5km creates settlement risk"", ""Sigma at 1.475 near threshold""]",,,,
2026-04-17T11:37:10.298160+00:00,London,2026-04-17,golden_hour,18,17,0.694,0.58,11.4,medium,2.0,20.0,1000.0,1.0,True,16.0,17.6,17.6,0.363,0.694,2.416666666666666,highest-temperature-in-london-on-april-17-2026-16c,Will the highest temperature in London be 16°C on April 17?,2945.5249,16815.13201799999,"METAR shows steady warming from 12°C to 16°C over past 12 hours, with hourly forecast predicting peak of 17.6°C at 15:00. Combined top-2 adjacent buckets (17° + 18°) have 69.4% probability vs market pricing of ~91% total, suggesting modest edge on the spread.","[""sigma=1.0 approaching caution threshold"", ""cloud thickening could cap warming""]",,,,
